,Ques,Ans
1783,Which chemical in plants is the largest contributor to the color green?,chlorophyll
1784,What an is an example of a green mineral?,emerald
1785,"What, in nature, is most likely to make things green?",chlorophyll
1786,For what do some animals use the color green?,camouflage
1787,What chemical causes emeralds to be green?,chromium
1788,From which Middle English and Anglo-Saxon word is green derived?,grene
1789,What was designed to standardize the connection of computer peripherals?,USB
1790,USB has become what on other devices?,commonplace
1791,What has USB effectively replaced?,a variety of earlier interfaces
1792,What was Sichuan referred to as by ancient Chinese sources?,Ba-Shu
1793,How far back can civilizations in the Yangtze region be dated?,at least the 15th century BC
1794,Where were the kingdoms of Ba and Shu located?,within the Sichuan Basin
1795,What land was included in the kingdom of Ba?,Chongqing and the land in eastern Sichuan along the Yangtze and some tributary streams
1796,What land was included in the kingdom of Shu?,"Chengdu, its surrounding plain and adjacent territories in western Sichuan"
1797,What was Unicode published as?,The Unicode Standard
1798,What was unicode developed in conjunction with?,Universal Coded Character Set (UCS)
1799,What is the most recent version of Unicode?,Unicode 8.0
1800,Who maintains the Unicode Standard? ,Unicode Consortium
1801,Unicode contains how many thousands of characters in its repertoire? ,"120,000 characters"
1802,What city has the biggest population in Michigan?,Detroit
1803,What is the name of the county that Detroit is a part of?,Wayne County
1804,How many people inhabit metro Detroit?,5.3 million
1805,What is the name of the river that runs through Detroit?,Detroit River
1806,In what region of the country is Detroit located?,Midwest
1807," How does the Cambridge English Dictionary define ""Culture"" in short?",the way of life
1808,What is the name of this theory that culture is a series of activities and world views?,Terror Management Theory
1809,What did Homo Sapiens acquire that allowed them to become aware of Culture?,larger brain
1810,What is the third hottest desert in the world?,The Sahara
1811,What is the third largest desert in the world?,The Sahara
1812,What is the surface area of the Sahara Desert?,"9,400,000 square kilometres (3,600,000 sq mi)"
1813,What is the hottest desert in the world?,Sahara
1814,"Which Scottish theologian is first credited with using the phrase ""rule of law""?",Samuel Rutherford
1815,"Which British jurist later made the phrase ""rule of law"" popular in the 1800s?",A. V. Dicey
1816,"What phrase Ariostle also use which is closely related to ""the rule of law""?",Law should govern
1817,Samuel Rutherford used the principle of the rule of law to argue what point?,against the divine right of kings
1818,"According to the rule of law, what should hold the determination for rules in a land? ",law
1819,What is the highest elevation in Tibet?,Mount Everest
1820,Which continent contains Tibet?,Asia
1821,"What is the average elevation of Tibet, in feet?","16,000"
1822,How many feet above sea level does earth's highest mountain rise?,"29,029"
1823,"Where is the traditional homeland of Monpa, Qiang, and Lhoba peoples?",Tibet
1824,What is 'a friendly' another term for?,exhibition game
1825,What is 'a scrimmage' another term for?,exhibition game
1826,What is 'a demonstration' another term for?,exhibition game
1827,What is 'a preseason game' another term for?,exhibition game
1828,What is 'a warmup match' another term for?,exhibition game
1829,What is the population of Strasbourg in 2012?,"768,868"
1830,What is the population of the transnational Eurodistrict Strasbourg-Ortenau in 2014?,"915,000"
1831,What is the predominant language in the region of Alace?,Alemannic
1832,What is the largest city in the ACAL region of France?,Straßburg
1833,Strasbourg has an official seat in what parliament?,European
1834,Strasbourg has an official seat in what Parliament?,European
1835,What is the predominant language in Asace?,Alemannic
1836,What kind of name is Strasbourg?,Germanic
1837,What is the Cherokee name for Oklahoma?,Asgaya gigageyi
1838,What is the Pawnee name for Oklahoma?,Uukuhuúwa
1839,What is the Cayuga name for Oklahoma?,Gahnawiyoˀgeh
1840,Where does Oklahoma rank by population?,28th
1841,What is Oklahoma's nickname?,The Sooner State
1842,In what geographic area was the country of India established?,Indian subcontinent
1843,What did the joining of the Indus Valley and Indo-Aryan cultures produce?,Vedic Civilization
1844,Of what is Hinduism a combination?,Indian cultures and traditions
1845,How long was the succession of powerful dynasties in the Indian subcontinent?,two millennia
1846,What movement lead to the founding of the Republic of India?,independence movement
1847,What number president of Egypt was Nasser?,second
1848,What organization attempted to assassinate Nasser?,Muslim Brotherhood
1849,In what year did Nasser become president?,1956
1850,In what year did Nasser die?,1970
1851,What type of government did Nasser overthrow?,monarchy
1852,What was Pope Saint John XXIII's birth name?,Angelo Giuseppe Roncalli
1853,When was Pope Saint John XXIII born?,25 November 1881
1854,When did Pope Saint XXIII die?,3 June 1963
1855,How long did he reign as Pope?,28 October 1958 to his death in 1963
1856,When was he ordained to the priesthood?,10 August 1904
1857,Time has long been a major point of study in which fields?,"religion, philosophy, and science"
1858,"Fields such as business, industry, sports, science, and performing arts incorporate some notion of what into their measuring systems?",time
1859,What is an example of a simple definition of time?,time is what clocks measure
